x,y,z
0.3120243804553323,0.3997074132696588,-0.09631945754964101
0.3746394094379627,0.46277981854965383,-0.3141620404631216
0.3980194801380641,0.46263812419990036,-0.26261952008722445
0.38705997147204785,0.4671431206061664,-0.1537064410474185
0.370164619669808,0.4250982883997818,-0.205526413250663
0.35579011588002385,0.44825422364432904,-0.029500894607530952
0.3699683862351197,0.45179011578043593,0.07454812445205589
0.3712966320174381,0.3916048864553046,0.7453526748166739
0.3330778601900281,0.3899878027003429,0.9517811204458159
0.30498280615435686,0.4580556092936426,0.4701923603951873
0.25428830375273187,0.4363935630980508,-0.08367853971874795
0.21227802273298388,0.3634147497311384,-0.5972226236755406
0.23150555617516713,0.25607550573899507,-1.2004408470080166
0.28016893115154407,0.2424726021949348,-1.640132858584763
0.26455376339726294,0.4037557298280774,-0.9732903168982496
0.21927914288074116,0.6297014974010896,0.4700412047466961
0.21674265326602338,0.7416089312062825,1.1248996119234496
0.26356402076205243,0.5339782435997545,0.6065138861996165
0.24275346222603122,0.1338715334891595,-0.32664425597404056
0.1799081349210958,-0.01001887800550663,-0.8240530854043502
0.22046283127185506,-0.0017104810168360588,-0.863202396996991
0.2941765860887496,0.013238723449673055,-0.29493530916908833
0.26235044354072984,0.018850343721763054,0.09315070074694581
0.1704416939210815,0.16134525842474945,0.0338683897527364
0.12283577847581777,0.41833821530748366,0.025738391368814624
0.131033223373921,0.580270713983993,-0.04310934173026561
0.20454260251466172,0.6406074605207378,-0.13192160563243058
0.29844303391335103,0.6204393033928606,-0.038967987840211715
0.35780946645630685,0.47994988359594604,0.21811024969052348
0.3606608175741565,0.22043696095854054,0.2871612993171038
0.3181622508049206,-0.006705473217354597,0.07744915861784597
0.2634959045530236,0.1446483264541236,0.37808441515776836
0.2532923816604488,0.4041641140765725,0.7203587233098775
0.3206065831923898,0.34663497854601305,0.23829563200013204
0.375982383117836,0.21496883587834584,0.1684583954275211
0.35073809808482936,-0.004327856495369443,-0.45576913061670504
0.46128972156206643,0.08379277059286007,-0.7484475187281545
0.6733325918158053,0.5440743142033159,-0.8889594519201374
0.7174864623513311,1.0138691069228856,-0.990241723228853
0.7814939886516494,1.2722366874904232,-1.1467444142337886
0.8454473685720998,1.075735595796743,-1.5460907425381432
0.8164061462073853,0.7040584542551745,-1.820895475169926
0.5380859853886479,0.41468723231016585,-1.7419613767315356
-0.07336335843994085,0.5560277186658702,-0.7788646509789666
-0.07672758453906232,0.7521517771407055,-0.6412297801437408
