x,y,z
-0.2637277211279045,-0.008475485028940247,-0.12411001048418854
-0.21176879093064938,-0.019681356914836915,-0.20211557898420224
-0.2075650115292052,-0.02998789317613339,-0.08320412217482073
-0.29993662287249845,-0.027624343743325747,0.2548892186308945
-0.3675604326825153,-0.050136432674283755,0.5356412143963005
-0.3418172313591208,-0.08417029421641425,0.6712335448763734
-0.0859773074289196,-0.15334899862221676,0.4312682828589299
-0.1380765875461939,-0.1551456951739728,0.12216089698158565
-0.23962080230949337,-0.14761548101048377,-0.010077338829629539
-0.18994405559145983,-0.14267740129801074,-0.1584012372969404
-0.23167184939678573,-0.11399488836865493,-0.1846105381729525
-0.31022652167722736,-0.07042320479167134,-0.2313895994334661
-0.3883954340422346,-0.03747035602037925,-0.4084632014184285
-0.35553170045754684,-0.05423735667130638,-0.7208844650139116
-0.22404082873950912,-0.08094430426727314,-0.8995706738829249
-0.3008391035673234,-0.07163398553573753,-0.8546316788362232
-0.34673401097575596,-0.11008850716955083,-0.9054395445243006
-0.4331565343445215,-0.14385310288347705,-0.5743057959044354
-0.401905934372612,-0.11985029481163367,-0.3503723244680981
-0.26598019963893127,-0.007365307459241882,-0.7150859271941321
-0.022495115087936484,0.07156434336112201,-1.2477822280920083
0.11220065579867093,0.07871377771296005,-1.2652261018538202
0.034534704426745146,0.05167401006920833,-1.0920683224426155
-0.1308102014442672,0.0053397879069429785,-1.3276205678761728
-0.05603404994395908,-0.04877830966294172,-2.0717750380730084
-0.029118594991602957,-0.059697554789437016,-2.2499872477754472
-0.3832702744463524,-0.030483803914263558,-1.2683431969713814
-0.7535258519054261,0.022055484706393517,0.9557913746854143
-0.2101737473368631,0.016426380826647623,0.14326937764572292
-0.0369601607859954,-0.03155780085745504,0.1798424961887122
0.07930681254700536,-0.15667051098865648,-0.6517111027987482
0.46054711816691635,-0.21067331879467704,-1.003112142899009
1.2071688361785688,-0.22733166844319394,-1.5001457249028112
1.281210214664174,-0.21265978000256677,-1.2506720508325768
1.2132052584993125,-0.1954240288783533,-0.4124226081401349
1.6856371516058462,-0.25836466172232053,-0.033084995380826494
1.1537614044314812,-0.32457663428526073,-0.12115584077602455
-2.063752191707517,-0.350442387339919,-0.4120939513790994
-2.7522494581232633,-0.3474888337213119,-0.4683541147765642
-2.001817733622747,-0.4675798100351458,-0.752286617645748
-1.127619562474157,-0.6496584576764376,-1.2205461787495755
-0.7801173852652304,-0.7274186985707907,-1.629769109986562
-0.372775637979109,-0.6894889395640069,-2.0267948910238296
-0.20462332913572756,-0.5496377452303504,-2.020804995336845
-0.29159640613536963,-0.4241895356726374,-1.6454475523492218
-0.5415937590709843,-0.3704385831672477,-0.8818088054261863
-0.6058994347548394,-0.3680433582782137,-0.3365691147620388
-0.16689656006014641,-0.3356551297581447,0.2302575448386048
0.5066465608607869,-0.2553011968041574,1.213907767439962
1.1673139125952066,-0.1929966225529789,2.2087078154118855
1.338439794140467,-0.2098822273328548,2.743461915414814
1.0638383082378933,-0.2472083471181742,2.7076482427169752
0.8567569478077118,-0.2582721162823724,2.5409281703759774
0.9383060753635155,-0.2947720357206706,2.588398215115457
1.2791387989091672,-0.3117666686913418,2.7955455005374965
1.5167756466826126,-0.25871436145488647,2.7988309459193914
1.644043718128717,-0.1467723811700003,2.8710920356081893
1.8749314670311255,-0.04454903674032994,2.7267518610209747
1.9071554512125763,0.05274624062041524,2.451424665808432
1.9337903680161495,0.11015387741024556,1.9554045514362033
2.038895132202012,0.14242695517343093,1.4795714812118144
2.1057895919161695,0.1787542475876952,1.0981670909119505
2.1808023310897156,0.22444182291461603,0.2714103467591615
2.7578557778136537,0.3929371168133567,-2.8994737944874083
2.737432353898172,0.5285590878818738,-3.0467350174806684
2.4187359046310464,0.4982089219811007,-1.9504455131367398
2.629064738580535,0.4492754504329541,-1.1730411545840567
2.7177325373867616,0.40352400826500096,-0.9462683656783942
2.0988574071274164,0.3435381595809973,-0.7720208003822938
1.1604056049792846,0.2918836192275699,-1.5138009736169404
0.6115590114540543,0.24480478672870631,-1.495789385974663
0.17474621081770553,0.3073611864113593,-1.8792162219840212
-0.47327248947350903,0.4063771770120424,-1.5537496982976609
-0.8057613539929844,0.3602112950049749,-0.3540802348652852
-0.5814507064251114,0.24432159773130357,-0.19739494934234583
-0.3341670279296941,0.07455956519954325,-0.22429682371398596
-0.48022029577925013,-0.06719147912953552,0.022700888452901916
-0.8562747772120699,-0.09932300985273376,0.05375642681288478
-1.1806527281333017,-0.10513667854864854,-0.18505049302922644
-1.1181668257370385,-0.11573611321307285,-0.4083548961990058
-1.0071256002174387,-0.12143276549744565,-0.5971821393134331
-0.7854742353296914,-0.10797146927898907,-0.7153202144587185
-0.584896320944788,-0.05948800287622978,-0.5827911073315256
-0.33107763006512353,-0.013935425138656166,-0.4881224352678035
-0.03958866617627043,0.016183645149674755,-0.31773279896094436
0.0523806734969434,0.03290377770212883,-0.5197669182280668
-0.13254806361012902,0.01565802383191974,-0.2782662102429469
-0.17618774053366207,-0.03446474438057305,-0.018658235681947265
0.10983858456372979,-0.09156039028714359,-0.24065624227206087
0.3302495443868746,-0.08505831718656202,-0.35228468778719885
0.1862413865668913,-0.00679297680912007,-0.4615156413046503
0.060640921527521964,0.025500225535740564,-0.6640269395349404
-0.019650803504050702,-0.023788939486746746,-0.5984386855323753
-0.0727780212932674,0.015255730210555539,-0.36945415081009
-0.025218988031595713,-0.08556365513413364,-0.08197483926148863
0.2940029246215702,-0.12279782490755946,0.27632055725720456
0.5659971722514822,-0.1323595126902261,0.5489459209110024
0.4713465339853465,-0.1631415834688973,0.4668149336429693
0.5882006254759682,-0.18557519837376338,0.10428623423163003
0.36321566690210233,-0.20496364702024958,-0.39673022999052016
0.20319013616486922,-0.23252546363744728,-0.6639155478033648
0.0002885160893250367,-0.2466523404439682,-0.49670258395715083
0.1861003084271533,-0.2881923420168896,-0.2676610907980787
0.6453865784345211,-0.34946239450846556,-0.17549971269328393
-0.06208237040338774,-0.4363526957513188,-0.15108128250090405
-0.6491681636664173,-0.492953641505125,-0.010016826338815827
-0.376015988877352,-0.5742387443216584,1.2228813877261182
-1.0086444387922835,-0.4539213959173419,-0.193918239729583
-0.003908221503460886,0.2652266159293698,-1.5305494678545088
-1.4500965570003623,-0.31867111479735905,2.6089904224460647
-0.8418378380355209,0.2340489597413287,-1.519669002586971
-1.9566826905098256,0.5726970289763447,-0.4401438797335093
-2.606185668022293,0.6035357026887657,0.39775492705918714
-1.407232366022216,0.3032986758057621,-0.19326859549377706
-0.18273246585481248,0.09672838473852595,-0.9273645229147692
-0.06660043968816051,0.17720628046147524,-0.8558441734293236
0.3815839416391934,0.3417606846459552,-0.9558338299962524
0.49003897333359075,0.28608328750368783,-0.6778881363658813
0.20715376678796577,0.23110060593553255,-0.3871598088010688
-0.11231922172940167,0.12459504739083688,-0.5789591789169426
-0.5651060119804249,0.012076320579391203,-0.3230287181971752
0.15600844509501818,-0.0911230473084514,0.17291788349288242
0.3168149655814219,-0.10040695994079257,0.05282657323123853
-0.0465046631244407,-0.10594408406846903,-0.01452561546065104
-0.14883577631389291,-0.12453366135617482,-0.3215918970767909
-0.39892459138765424,-0.12952829444675196,-0.025438768799162053
-0.1971980578602381,-0.2150788606400354,0.7695267938124798
-0.3847728845944592,-0.2012303543236448,0.4435251037501547
-0.6410358008665615,-0.12721368708950662,0.003863356787009998
-0.5937205586446,-0.1048022211823285,-0.1333255169813367
-0.2283516916936538,-0.07438548931421103,-0.18037407867686084
0.4735014797020653,-0.032251593614478366,-0.2647532173582226
0.7789487040335892,-0.07031638957951505,-1.051795056521013
0.11514444263689451,-0.09971121227871407,-1.023585195351505
-0.31215014109336525,-0.10905950774176325,-0.7345453255101534
-0.4128537133241497,-0.1073512185977676,-0.5516370839549405
-0.1948461041225585,-0.03543441688338013,-0.8218939489335635
0.41333912139931644,-0.01211135005659057,-0.5061036261301921
0.09733716285894907,-0.05758477895594626,-0.06962706271326524
-0.7395751999272276,-0.06633957724241034,-0.09309114672623944
-1.2401736372037957,-0.04835175339377224,-0.034081838259845475
-1.0966599416747647,-0.11357444489700198,0.05408496664846356
-0.8163557490978425,-0.14070257025709948,-0.0125204959284894
0.6182651310817763,-0.12381358157334878,-0.5625411182594849
1.3055302486147775,-0.051577723493501273,-0.36913419211938625
1.2297098903570993,0.0342743942416247,0.44093176429962017
1.906381341176608,0.16500533223427188,0.45701663187220715
1.49728271103741,0.22486630517139639,0.01838953655424941
0.4906851575249962,0.19503878365854702,-0.30362562382329783
0.07422475348225939,0.14862692107082395,0.019982128263377218
-0.10006037713686025,0.07443969083923885,-0.03331247841558445
-0.3668386504926578,0.06034980834052591,-0.32937680204874176
-0.3129518717520653,0.06720523298351519,-0.4892141853724105
-0.30348403978909777,0.038401684666171394,-0.6380455659240474
-0.15498818556333283,-0.01764887111141247,-0.5341907785914957
-0.2573272308627756,-0.05127331404362697,-0.09631598591700256
-0.3814491048123023,-0.09262028611228168,-0.08770506663820092
0.08112274130689832,-0.11362934101212067,0.07713679171896862
0.3222123669179792,-0.16892175093264528,0.44502454173165923
-0.020283227992201884,-0.162512679693086,0.19965112736297908
-0.0988558486830519,-0.15449296531522985,-0.2843596411985391
-0.23634400820001208,-0.15159180708451186,-0.4652757400598471
-0.1704472752801332,-0.11401988532251485,-0.6388880645449424
-0.21188894629833874,-0.0973189247496677,-0.5072237153825734
-0.2890993674963721,-0.1084292543552768,-0.15431893502942676
-0.18158212670094426,-0.07325140633181715,0.07713361176242219
-0.2786104575528995,-0.1044555778111844,0.11457915784441561
0.10626502404483756,-0.038100113238769474,0.143466908409271
0.30547644906891686,-0.023475241761096298,0.22084135130172625
0.4467213563771334,-0.08036706154614251,0.3734862349913198
0.3793746041070331,-0.047409151858368276,0.24801829074697743
0.06432128235426242,-0.001661917195545153,-0.2771828775235945
0.0476048913183803,-0.0005689169839244048,-0.0649269039836936
-0.6785365045873167,-0.07084641688294395,-1.029019910095422
-1.2051227437076106,-0.12021469105161349,-1.7137613940922503
-1.3768016071871858,-0.10419117943354243,-0.6762610330605037
-1.8074193431922407,-0.11845888876910031,-1.1366880134212185
