"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.998616250E-1,-1.062753664E0,-4.027688441E0,-2.503245061E0,4.859830796E0
6.098526250E-1,-9.776465634E-1,-4.473190141E0,-2.172047072E0,5.067840893E0
6.198436250E-1,-1.081461246E0,-4.575134299E0,-2.177284423E0,5.180924603E0
6.298336250E-1,-1.258279878E0,-4.476067556E0,-2.615227427E0,5.334591222E0
6.398246250E-1,-9.619084901E-1,-4.187620607E0,-3.216352186E0,5.367155268E0
6.498156250E-1,-7.153191268E-1,-3.874500747E0,-3.981803001E0,5.601624106E0
6.598066250E-1,-6.159562218E-1,-3.508064220E0,-4.671549915E0,5.874461273E0
6.697966250E-1,-1.066343855E0,-3.249872812E0,-5.144711283E0,6.177929807E0
6.797876250E-1,-1.341096917E0,-3.373523589E0,-5.202449614E0,6.343869823E0
6.897786250E-1,-8.153240561E-1,-3.492351290E0,-4.452080523E0,5.716842820E0
6.997686250E-1,7.560332894E-2,-3.343577366E0,-3.184267344E0,4.617876567E0
7.097596250E-1,1.057684713E0,-3.197387619E0,-2.060770465E0,3.948260307E0
7.197506250E-1,1.755067506E0,-3.318635483E0,-1.012041348E0,3.888165520E0
7.297416250E-1,2.221760684E0,-3.277305316E0,-3.577443480E-1,3.975541685E0
7.397316250E-1,2.497610099E0,-3.051962688E0,-5.948957205E-1,3.988287023E0
7.497226250E-1,2.317003056E0,-2.751493572E0,-1.470847217E0,3.886207865E0
7.597136250E-1,1.737097843E0,-2.425415405E0,-2.499076581E0,3.891726167E0
7.697046250E-1,1.300277504E0,-2.220048620E0,-3.186619095E0,4.095592596E0
7.796946250E-1,1.311374350E0,-2.180140349E0,-3.094254722E0,4.005886533E0
7.896856250E-1,1.894117802E0,-2.039571531E0,-2.035395011E0,3.448241165E0
7.996766250E-1,3.115986484E0,-1.392253329E0,-2.822793058E-1,3.424532480E0
8.096666250E-1,3.840339559E0,-7.900091938E-1,7.865785593E-1,3.998878378E0
8.196576250E-1,3.873561684E0,-5.299800785E-1,5.879503977E-1,3.953611599E0
8.296486250E-1,3.436477051E0,-2.878411773E-1,-1.862718254E-1,3.453537934E0
8.396396250E-1,3.171373649E0,-4.168125186E-1,-1.006318385E0,3.353210431E0
8.496296250E-1,2.638956013E0,-8.487901564E-1,-1.473918759E0,3.139581194E0
8.596206250E-1,2.237539396E0,-1.072021867E0,-1.258941198E0,2.782219684E0
8.696116250E-1,2.258052013E0,-1.153182901E0,-6.873507249E-1,2.626990810E0
8.796016250E-1,3.048659304E0,-8.313099052E-1,1.609052883E-1,3.164062297E0
8.895926250E-1,4.572230279E0,-4.005613156E-2,9.447368257E-1,4.668985103E0
8.995836250E-1,5.771212959E0,1.043795383E0,1.383873246E0,6.025903499E0
9.095746250E-1,5.641670820E0,1.808806049E0,1.426898959E0,6.093953528E0
9.195646250E-1,5.065526535E0,2.091427563E0,1.125565624E0,5.594687328E0
9.295556250E-1,4.117868879E0,2.250359562E0,7.322837998E-1,4.749442265E0
9.395466250E-1,3.370127526E0,2.275341353E0,6.284850508E-1,4.114599770E0
9.495376250E-1,3.722975416E0,2.222809382E0,7.369995792E-1,4.398249183E0
9.595276250E-1,4.507051367E0,2.263670602E0,7.093660766E-1,5.093222639E0
9.695186250E-1,5.126225896E0,2.539910319E0,6.509529769E-1,5.757870799E0
9.795096250E-1,5.300544843E0,3.002160783E0,8.775033474E-1,6.154572051E0
9.894996250E-1,5.444033761E0,3.602976225E0,1.293064379E0,6.655145134E0
9.994906250E-1,5.365256563E0,4.158419027E0,1.848653947E0,7.035335686E0
1.009481625E0,4.914694099E0,4.386224210E0,2.183062057E0,6.939664318E0
1.019472625E0,4.348808169E0,4.551418285E0,2.137299408E0,6.647976358E0
1.029462625E0,3.901792626E0,4.690639905E0,1.702277089E0,6.334337826E0
1.039453625E0,3.478104549E0,4.833284777E0,1.040028534E0,6.044792167E0
1.049444625E0,3.062418387E0,4.994690441E0,4.946528826E-1,5.879627578E0
1.059434625E0,2.907206971E0,5.049336179E0,8.146867096E-2,5.827030579E0
1.069425625E0,3.047213287E0,5.131125863E0,9.153706469E-2,5.968445398E0
1.079416625E0,3.081858625E0,5.203820202E0,2.530534236E-1,6.053233294E0
1.089407625E0,2.974464569E0,5.160546713E0,2.691151403E-1,5.962474722E0
1.099397625E0,2.565390438E0,4.993620400E0,1.326119274E-1,5.615608491E0
1.109388625E0,1.958192176E0,4.811368243E0,-1.564083044E-1,5.196945692E0
1.119379625E0,1.514413651E0,4.697248428E0,-4.490053511E-1,4.955723691E0
1.129370625E0,1.460281883E0,4.675276930E0,-6.188201880E-1,4.936960196E0
