"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.137916250E-1,-1.587940049E0,1.143111584E0,-1.870823080E0,2.707071608E0
6.237836250E-1,-1.929405749E0,1.448217030E0,-2.416617976E0,3.414671515E0
6.337746250E-1,-1.066407005E0,5.311192623E-1,6.073707551E-2,1.192895872E0
6.437666250E-1,-6.942802602E-1,2.540253405E-1,1.905281307E0,2.043685595E0
6.537576250E-1,-7.319988942E-1,5.121912405E-2,1.844562065E0,1.985158682E0
6.637496250E-1,9.322935122E-1,-3.310457421E-1,2.974813648E0,3.135008567E0
6.737406250E-1,8.591512764E-1,2.656099172E-1,1.135929229E0,1.448801145E0
6.837326250E-1,1.121294233E0,8.328635104E-1,3.146147007E-1,1.431762828E0
6.937236250E-1,1.294351351E-1,7.155350353E-1,-3.906247035E-1,8.254280707E-1
7.037156250E-1,-1.013041221E0,6.586259857E-1,-1.401834577E0,1.850724422E0
7.137066250E-1,-8.883037394E-1,1.960197552E-1,-2.734217096E0,2.881570823E0
7.236986250E-1,-9.045245004E-1,-2.927379280E-2,-3.941411605E0,4.043976628E0
7.336896250E-1,-1.472786738E0,-1.769806363E-1,-3.961550000E0,4.230165638E0
7.436816250E-1,-3.610952704E0,-6.086981096E-1,-2.449910853E0,4.405854742E0
7.536726250E-1,-2.467800409E0,-5.979078040E-1,4.142606109E-2,2.539537107E0
7.636646250E-1,-4.511735571E0,-2.918335977E0,3.919733053E0,6.651071338E0
7.736556250E-1,8.239410979E-1,-2.223560019E0,5.175074705E0,5.692494733E0
7.836476250E-1,2.838109254E0,-1.021039189E0,4.232316431E0,5.197103764E0
7.936386250E-1,2.585543452E0,6.826538759E-1,1.567919037E0,3.099906670E0
8.036306250E-1,1.072496880E0,8.339744814E-1,-7.567064501E-1,1.555110171E0
8.136216250E-1,2.840279156E-1,1.161415050E0,1.832803899E-1,1.209606744E0
8.236136250E-1,-3.787966633E-1,1.729280700E0,6.918782240E-1,1.900682543E0
8.336046250E-1,-1.066083069E0,1.143001875E0,2.084240019E-2,1.563144524E0
8.435966250E-1,-1.414059643E0,1.724366700E0,7.020705056E-1,2.337928182E0
8.535876250E-1,-3.086694272E0,1.392364280E0,-4.924377088E0,5.976273883E0
8.635796250E-1,-7.552087736E0,-1.152048102E0,-4.529083090E0,8.881094394E0
8.735706250E-1,-4.246779519E0,7.457436517E-1,-1.928791791E0,4.723505864E0
8.835626250E-1,7.158738522E0,2.108931934E0,2.550318071E0,7.886650328E0
8.935536250E-1,7.499406077E0,-2.173138162E-1,6.833404706E0,1.014809030E1
9.035456250E-1,5.788559309E0,-1.133673958E0,3.690003551E0,6.957640528E0
9.135366250E-1,1.777550050E0,-1.962252483E-1,2.949065872E-1,1.812500600E0
9.235286250E-1,-2.999586546E-1,-2.799804729E-1,-1.071774822E0,1.147634754E0
9.335196250E-1,-8.378954780E-1,-3.237544835E-1,-1.205370835E0,1.503264664E0
9.435116250E-1,-9.013944858E-1,1.365832686E0,-1.502097076E0,2.221329910E0
9.535036250E-1,-1.004960954E0,7.381820324E-1,-2.184835371E0,2.515624144E0
