"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.244352917E-1,-1.141827900E0,1.768149774E0,-4.568623717E0,5.030153799E0
6.344262917E-1,4.171682559E0,5.434370068E0,-9.297612585E0,1.154906547E1
6.444172917E-1,6.248076199E0,6.574398195E0,-1.055113458E1,1.391357642E1
6.544082917E-1,3.565666603E0,6.619626993E0,-7.646061262E0,1.072360446E1
6.643992917E-1,7.636761850E-1,5.570668665E0,-4.691785959E0,7.323141824E0
6.743892917E-1,-1.868775385E0,4.128421057E0,-2.503501754E0,5.177229268E0
6.843802917E-1,-3.989896717E0,2.146239655E0,-2.744477205E0,5.296959090E0
6.943712917E-1,-5.147150742E0,1.003063240E0,-4.043273610E0,6.621733769E0
7.043622917E-1,-6.354019561E0,1.126952291E0,-5.130584410E0,8.244178700E0
7.143532917E-1,-6.444791737E0,1.017288931E0,-4.061645561E0,7.685517677E0
7.243442917E-1,-4.740607871E0,7.099417350E-1,-1.242623227E0,4.951918087E0
7.343352917E-1,1.649879605E-1,1.423995232E0,1.434754840E0,2.028177728E0
7.443262917E-1,5.399973822E0,7.393345186E-1,6.350048132E0,8.368359701E0
7.543172917E-1,6.993825991E0,-6.255339611E-1,1.181386770E1,1.374308425E1
7.643072917E-1,4.120370902E0,-1.227122989E0,1.108256346E1,1.188724106E1
7.742982917E-1,4.633996173E0,-7.790695649E-1,4.827969950E0,6.737222258E0
7.842892917E-1,5.451509426E0,-7.074394190E-1,-1.045456431E0,5.595748806E0
7.942802917E-1,5.448584064E0,-2.253456101E0,-2.316884212E0,6.335067889E0
8.042712917E-1,4.516868257E0,-3.107572340E0,-8.348408926E-1,5.545815000E0
8.142622917E-1,1.323227241E0,-4.199035833E0,3.431988144E-1,4.415950372E0
8.242532917E-1,-5.742743450E-1,-5.571954467E0,-5.492853919E-1,5.628337414E0
8.342442917E-1,-2.860299438E0,-5.212750069E0,-1.198932978E0,6.065601079E0
8.442352917E-1,-4.111027052E0,-4.224925550E0,-3.742431441E-1,5.906826327E0
8.542252917E-1,-3.768835128E0,-2.309073647E0,1.239337823E-1,4.421685076E0
8.642162917E-1,-2.368791261E0,-6.333224523E-1,2.868301937E-1,2.468712402E0
8.742072917E-1,-1.288876019E0,-4.382394576E-1,4.437326244E-1,1.431835834E0
8.841982917E-1,-7.549252421E-1,-4.832811445E-1,-7.939173996E-2,8.998754548E-1
8.941892917E-1,-7.948161167E-1,-2.728445309E-1,-1.730719407E0,1.923945546E0
9.041802917E-1,-1.088760910E0,3.120939660E-1,-2.915624330E0,3.127885580E0
9.141712917E-1,-1.326653709E0,7.843513548E-1,-3.074079197E0,3.438775948E0
9.241622917E-1,-1.810840003E0,7.181357306E-1,-2.316203450E0,3.026492832E0
9.341532917E-1,-2.231434903E0,5.923650455E-1,-1.127835806E0,2.569476927E0
9.441442917E-1,-2.257698841E0,6.551805139E-2,-6.178939891E-1,2.341642512E0
9.541342917E-1,-1.713528301E0,2.174263752E-1,-1.417017165E-1,1.733070352E0
9.641252917E-1,-1.177835639E0,4.876168549E-1,8.009026296E-1,1.505493943E0
9.741162917E-1,-4.179542971E-1,3.942759973E-1,1.377867279E0,1.492868914E0
9.841072917E-1,-1.507529140E-2,9.632510108E-1,1.336557723E0,1.647563753E0
9.940982917E-1,-6.180740833E-2,1.194743448E0,1.269526412E0,1.744399431E0
1.004089292E0,1.770577830E-1,8.017748880E-1,1.143644192E0,1.407875871E0
1.014080292E0,7.622120422E-1,2.521214139E-1,3.469410324E-1,8.745858932E-1
1.024071292E0,1.180456654E0,1.518972141E-1,-9.008726218E-1,1.492689571E0
1.034062292E0,1.071029229E0,6.724221987E-1,-1.531457408E0,1.986105993E0
1.044052292E0,9.976150972E-1,1.241163324E0,-5.086165452E-1,1.671649804E0
1.054043292E0,1.158426976E0,1.595802215E0,8.191598296E-1,2.135312763E0
1.064034292E0,1.128790948E0,2.147283529E0,4.457347110E-1,2.466510692E0
1.074025292E0,7.512648851E-1,2.386272097E0,-4.253361145E-1,2.537637535E0
1.084016292E0,8.584355772E-2,2.374249637E0,-7.080793968E-1,2.479073796E0
1.094007292E0,-1.339222884E-1,1.935569884E0,-6.493555176E-1,2.045978627E0
1.103998292E0,-2.611998010E-1,1.277073998E0,-1.788765594E-2,1.303634650E0
1.113989292E0,-3.695753118E-1,-5.725535095E-2,5.673649827E-1,6.795344803E-1
1.123980292E0,-5.334408993E-1,-1.529532797E0,6.122558114E-1,1.731729467E0
1.133971292E0,-9.557358769E-1,-3.199067817E0,-2.713625541E-1,3.349791575E0
1.143961292E0,-1.373407169E0,-4.615369867E0,-1.488270604E0,5.040122583E0
1.153952292E0,-1.061355303E0,-4.529354401E0,-7.016343033E-1,4.704659081E0
1.163943292E0,-4.792930511E-1,-3.809958596E0,2.181524093E0,4.416396008E0
1.173934292E0,2.151545857E-1,-3.964073659E0,3.267242843E0,5.141502432E0
1.183925292E0,8.739258747E-1,-4.505365030E0,1.400948578E0,4.798407799E0
1.193916292E0,1.733289551E0,-5.006438082E0,-8.529753010E-1,5.366216712E0
1.203907292E0,2.417383231E0,-3.934858630E0,-8.860508072E-1,4.702333480E0
1.213898292E0,2.236199214E0,-8.923926973E-1,-5.755706728E-3,2.407692833E0
1.223889292E0,1.423057777E0,1.327313860E0,1.136982898E0,2.253793608E0
1.233879292E0,7.088877743E-1,3.475272743E0,2.143238718E0,4.144093956E0
1.243870292E0,-7.359304158E-1,4.925337201E0,1.595526519E0,5.229363727E0
1.253861292E0,-1.914795750E0,5.761233516E0,1.539566911E0,6.263267570E0
1.263852292E0,-3.009060790E0,6.027543783E0,1.012505032E0,6.812554391E0
1.273843292E0,-4.171527900E0,5.791900992E0,-1.993266115E-1,7.140552725E0
1.283834292E0,-5.189144860E0,5.389450588E0,-1.315494006E0,7.596310058E0
1.293825292E0,-6.329109253E0,4.807200640E0,-2.116470749E0,8.224734060E0
1.303815417E0,-4.935848740E0,5.622959729E0,-2.041515292E0,7.755518267E0
1.313806417E0,-1.868314917E0,6.411417584E0,-2.802102685E-1,6.683965429E0
1.323796417E0,-5.008052498E-2,5.264658142E0,2.136996815E0,5.682067299E0
1.333787417E0,6.593171266E-1,3.324368970E0,3.519440271E0,4.885958242E0
1.343778417E0,9.090315342E-2,1.321515761E0,2.961051933E0,3.243839676E0
