"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.197949583E-1,-8.217273420E-1,-6.207294209E0,1.228056790E0,6.380741391E0
6.297859583E-1,-1.674188234E0,-5.935287584E0,4.852723553E0,7.847258810E0
6.397769583E-1,-1.802383175E0,-6.356302314E0,7.169348295E0,9.749395837E0
6.497679583E-1,-6.737389916E-1,-6.134739034E0,9.672287546E0,1.147353884E1
6.597589583E-1,-1.811525881E-1,-5.376158697E0,1.086418515E1,1.212297066E1
6.697499583E-1,-2.761008453E-1,-4.813119192E0,1.030840497E1,1.138005101E1
6.797399583E-1,1.031133091E-1,-3.884043403E0,8.766659676E0,9.589095233E0
6.897309583E-1,5.396407020E-1,-2.554437434E0,6.915413074E0,7.391840142E0
6.997219583E-1,1.152769210E0,-1.174711179E0,5.165467730E0,5.421335635E0
7.097129583E-1,1.970902854E0,4.584415877E-1,4.514785771E0,4.947516277E0
7.197039583E-1,2.470600056E0,1.673435113E0,4.778630268E0,5.633787088E0
7.296949583E-1,2.554914567E0,2.171858499E0,5.816323643E0,6.713730595E0
7.396859583E-1,2.094784888E0,2.204645153E0,7.173546011E0,7.791556093E0
7.496769583E-1,1.801266941E0,2.223240615E0,8.090588815E0,8.581665852E0
7.596679583E-1,2.232788533E0,2.575923613E0,8.225262471E0,8.903688551E0
7.696589583E-1,3.599683950E0,3.485171202E0,7.689614832E0,9.177925643E0
7.796499583E-1,4.866787276E0,4.745912465E0,6.165486617E0,9.177283299E0
7.896399583E-1,5.966069666E0,6.188673751E0,4.008032149E0,9.484618693E0
7.996309583E-1,6.334778713E0,7.079714572E0,2.244309010E0,9.761593246E0
8.096219583E-1,6.052510809E0,7.053723114E0,1.068485690E0,9.355723303E0
8.196129583E-1,5.134868081E0,6.591523520E0,-8.479135126E-2,8.355970446E0
8.296039583E-1,4.456315661E0,6.168585057E0,-1.142251824E0,7.695123787E0
8.395949583E-1,4.183855877E0,6.283164171E0,-1.946843315E0,7.795704002E0
8.495859583E-1,3.654364187E0,6.099784963E0,-2.769368802E0,7.630934266E0
8.595769583E-1,2.746533671E0,5.655157422E0,-3.504495957E0,7.197620759E0
8.695679583E-1,1.350039648E0,4.823048934E0,-4.043725600E0,6.437089777E0
8.795589583E-1,-1.137973416E-1,4.225571083E0,-5.699648886E0,7.096083303E0
8.895499583E-1,-1.858626958E0,3.810884795E0,-1.134358433E1,1.211008846E1
8.995399583E-1,-3.529999173E0,2.844479796E0,-1.492968169E1,1.560279959E1
9.095309583E-1,-3.690263168E0,5.491192944E-1,-1.272342899E1,1.325915607E1
9.195219583E-1,-2.616672859E0,-8.532223459E-1,-8.805650080E0,9.225748671E0
9.295129583E-1,-5.430244857E-1,-5.559262940E-1,-5.635554047E0,5.688883815E0
9.395039583E-1,-5.213886184E-1,4.471243018E-1,-4.417024126E0,4.470108317E0
9.494949583E-1,-3.212701185E0,1.063400147E0,-3.750906395E0,5.051887525E0
9.594859583E-1,-4.917908898E0,-1.249074899E-1,-4.586018599E0,6.725548037E0
9.694769583E-1,-5.618556191E0,-4.178933398E-1,-5.454996706E0,7.842180665E0
9.794679583E-1,-3.605620043E0,2.844231874E-1,-2.978528384E0,4.685405402E0
9.894589583E-1,-1.570283212E0,-7.193654001E-2,2.295908056E0,2.782473367E0
9.994499583E-1,-3.284424886E0,7.977736384E-2,3.976645757E0,5.158248030E0
1.009440958E0,-3.258350397E0,-1.159738872E0,3.973854881E0,5.268146180E0
1.019430958E0,-5.141307034E0,-1.264619575E0,3.178689101E0,6.175464767E0
1.029421958E0,-4.508426047E0,-1.356614550E0,1.216895624E0,4.862832859E0
1.039412958E0,-7.448206687E-1,-2.172757655E0,-2.312121801E0,3.259070554E0
1.049403958E0,3.161725743E0,-3.001908476E0,-2.794807699E0,5.178698123E0
1.059394958E0,5.733583787E0,-3.653581245E0,-9.745642036E-1,6.868217698E0
1.069385958E0,6.871711569E0,-3.109063965E0,4.205259939E-2,7.542444369E0
1.079376958E0,7.450729761E0,-1.756393362E0,6.228056502E-1,7.680245991E0
