"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.080285833E-1,4.202030777E0,-1.185792238E0,4.496412942E0,6.267447266E0
6.180195833E-1,4.739464740E0,-1.025271842E0,4.870295606E0,6.872662342E0
6.280105833E-1,5.257581257E0,-1.418578956E0,6.461875547E0,8.450465224E0
6.380015833E-1,5.257543250E0,-1.615730988E0,7.208690116E0,9.067389968E0
6.479925833E-1,5.626828247E0,-1.689443035E0,7.838862673E0,9.796079925E0
6.579835833E-1,5.936424283E0,-1.964627037E0,8.451392426E0,1.051317871E1
6.679735833E-1,6.336099014E0,-2.139728342E0,9.050953056E0,1.125363671E1
6.779645833E-1,6.268018713E0,-1.669363697E0,9.009719660E0,1.110179635E1
6.879555833E-1,5.707381244E0,-9.918006259E-1,7.770027496E0,9.691810793E0
6.979465833E-1,5.170250167E0,-2.809189510E-1,6.533912659E0,8.336810954E0
7.079375833E-1,4.785527351E0,5.541254246E-1,5.931714935E0,7.641568496E0
7.179285833E-1,5.790338616E0,1.467353505E0,6.331509535E0,8.704548270E0
7.279185833E-1,7.404630312E0,2.615175387E0,6.403460108E0,1.013271897E1
7.379095833E-1,8.388581051E0,3.503563326E0,6.723841918E0,1.130722327E1
7.479005833E-1,8.644509003E0,4.100801441E0,6.801122228E0,1.173879772E1
7.578915833E-1,8.546459382E0,4.991096157E0,6.323381320E0,1.174470775E1
7.678825833E-1,1.034867006E1,6.108570405E0,-2.241288046E0,1.222427816E1
7.778735833E-1,1.172243479E1,3.308616571E0,-8.967146083E0,1.512521504E1
7.878645833E-1,7.608639666E0,3.221374944E0,-2.468475178E-1,8.266171290E0
7.978545833E-1,5.166361769E0,3.751632035E0,3.292013403E0,7.183549895E0
8.078455833E-1,5.603762151E0,2.268406847E0,2.717254323E0,6.628068416E0
8.178365833E-1,6.517355683E0,2.088902004E0,9.238559800E-1,6.906008004E0
8.278275833E-1,5.215812256E0,4.966168892E-1,4.872648525E-1,5.262010344E0
8.378185833E-1,2.184820899E0,1.193433672E0,1.180355497E0,2.755170664E0
8.478095833E-1,6.400879732E-1,1.576432144E0,1.623377100E0,2.351638604E0
8.577995833E-1,2.123806081E0,8.002744925E-1,-5.171659346E0,5.647747509E0
8.677905833E-1,1.769467444E0,-1.591406863E0,-3.873377789E0,4.546058330E0
8.777815833E-1,1.142167624E0,-1.299012752E0,1.672983708E0,2.406419642E0
8.877725833E-1,5.962435037E-1,2.256563312E-1,5.457216893E0,5.494328286E0
8.977635833E-1,1.665145808E0,1.120001414E0,5.113307642E0,5.492998159E0
9.077545833E-1,3.239511253E0,2.003640829E0,3.156855597E0,4.947195872E0
9.177455833E-1,3.287922106E0,2.917686936E0,1.044729037E0,4.518272633E0
9.277355833E-1,2.649711674E0,3.755241521E0,-1.270934714E0,4.768446905E0
9.377265833E-1,2.697852677E0,4.390586525E0,-2.264773680E0,5.628930531E0
9.477175833E-1,2.451762666E0,3.933716084E0,-1.952063125E0,5.029494293E0
9.577085833E-1,1.969031598E0,2.830012615E0,-1.324251089E0,3.693196147E0
9.676995833E-1,2.428452156E0,2.299145075E0,-1.421314576E0,3.633673496E0
9.776905833E-1,2.804288374E0,2.693899959E0,-3.818380925E-1,3.907291979E0
9.876805833E-1,3.844325313E0,5.681213200E0,-1.553219867E0,7.033314474E0
9.976715833E-1,3.993336049E0,8.441225873E0,-2.559549655E0,9.682578245E0
1.007662583E0,3.622949144E0,9.319731433E0,-1.458619519E0,1.010498517E1
1.017653583E0,2.546232036E0,7.731734081E0,4.750497267E-1,8.154059218E0
1.027644583E0,7.072816904E-1,5.614640311E0,6.533479965E-1,5.696603972E0
1.037635583E0,-6.878094390E-2,3.993171743E0,-6.876232052E-1,4.052527243E0
1.047626583E0,6.106216608E-1,3.072803627E0,-1.289236207E0,3.387788503E0
1.057616583E0,7.568212017E-1,2.869691820E0,-1.820751033E0,3.481816164E0
1.067607583E0,3.117307077E-1,9.265626562E-1,-3.925668561E-1,1.053471939E0
1.077598583E0,2.792543949E-1,-1.159394106E0,1.215018961E0,1.702483123E0
1.087589583E0,1.455319789E0,-1.602431204E0,1.309205033E0,2.529774549E0
1.097580583E0,2.067030640E0,-1.613984717E0,2.415480985E0,3.565404707E0
1.107571583E0,2.464155255E0,-2.356308625E0,2.591025801E0,4.282250128E0
1.117562583E0,2.331671820E0,-2.923800200E0,1.851793609E0,4.173061305E0
1.127552583E0,2.194313269E0,-2.563108270E0,2.244114882E0,4.052232265E0
1.137543583E0,2.102751427E0,-1.486139440E0,1.553852536E0,3.007429418E0
1.147534583E0,1.700888960E0,-6.401233488E-1,8.955814764E-1,2.026042284E0
1.157525583E0,1.391148352E0,-2.358749253E-1,7.336787993E-1,1.590350684E0
1.167516583E0,1.226073268E0,2.444989836E-1,4.758671674E-1,1.337716327E0
1.177507583E0,7.994175830E-1,6.557693285E-1,-3.892596710E-1,1.104818979E0
1.187497583E0,5.327544361E-2,1.032257511E0,-3.839609241E-1,1.102642205E0
1.197488583E0,1.645447415E-1,1.051474970E0,-9.441396788E-1,1.422699658E0
1.207479583E0,1.906920281E-1,7.478968889E-1,-9.681442532E-1,1.238150436E0
1.217470583E0,2.232117565E-1,6.349848157E-1,-7.714500582E-1,1.023799002E0
1.227461583E0,3.595619550E-1,9.994248104E-1,-7.583081487E-1,1.305054022E0
1.237452583E0,3.161115879E-1,1.506118791E0,-2.710105518E-1,1.562615458E0
1.247443583E0,8.261810200E-1,2.353627092E0,-9.298996621E-1,2.662113624E0
1.257433583E0,1.104777311E0,2.373808756E0,-2.396487767E0,3.549458344E0
1.267424583E0,3.529434916E-1,1.975211082E0,-2.319998585E0,3.067315009E0
1.277415583E0,-2.630548301E-1,1.493963599E0,-1.833149177E0,2.379403494E0
1.287406583E0,-8.630320734E-1,7.596059382E-1,-1.425066442E0,1.831021547E0
1.297397583E0,-2.019796686E0,-4.034818536E-1,-1.467464895E0,2.528997722E0
1.307388375E0,-2.364717798E0,-1.378203932E0,-5.453218567E-1,2.790826449E0
1.317379375E0,-1.435059041E0,-1.799651356E0,-9.711815894E-2,2.303816701E0
