"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.663000790E-1,-1.578000069E0,4.197000027E0,9.577050209E0,1.057472383E1
1.687994720E-1,-1.648950100E0,4.192049980E0,9.370950699E0,1.039745336E1
1.712988570E-1,-1.732950091E0,4.195050240E0,9.169950485E0,1.023179136E1
1.737983160E-1,-1.768950105E0,4.185000420E0,8.992950439E0,1.007554319E1
1.762977030E-1,-1.792950034E0,4.180050373E0,8.844000816E0,9.945041045E0
1.787970880E-1,-1.831050038E0,4.165950298E0,8.703000069E0,9.820900994E0
1.812964720E-1,-1.873950124E0,4.111050129E0,8.607000351E0,9.720744687E0
1.837957800E-1,-1.915050149E0,4.096950054E0,8.521050453E0,9.646798311E0
1.862952400E-1,-1.939050078E0,4.051050186E0,8.454000473E0,9.572933031E0
1.887946260E-1,-1.957950115E0,3.991050243E0,8.430000305E0,9.530317720E0
1.912940250E-1,-1.941000104E0,3.960000277E0,8.416049957E0,9.501525166E0
1.937934090E-1,-1.921950102E0,3.927000284E0,8.368050575E0,9.441371397E0
1.962927940E-1,-1.908000112E0,3.904950142E0,8.322000504E0,9.388545810E0
1.987921790E-1,-1.873950124E0,3.862050295E0,8.269950867E0,9.317682592E0
2.012915630E-1,-1.828950047E0,3.844950199E0,8.218950272E0,9.256340739E0
2.037909380E-1,-1.819050074E0,3.835950136E0,8.204999924E0,9.238261761E0
2.062903220E-1,-1.816950083E0,3.807000160E0,8.229000092E0,9.247215815E0
2.087899370E-1,-1.827000141E0,3.790050268E0,8.229000092E0,9.242232039E0
2.112893240E-1,-1.840950131E0,3.769050121E0,8.272050858E0,9.274786337E0
2.137886840E-1,-1.884000063E0,3.772950172E0,8.293050766E0,9.303725074E0
2.162880690E-1,-1.917000055E0,3.751950264E0,8.344050407E0,9.347470096E0
2.187874530E-1,-1.975050092E0,3.724950075E0,8.407950401E0,9.405833609E0
2.212868380E-1,-2.029950142E0,3.709050179E0,8.509050369E0,9.501667695E0
2.237862230E-1,-2.097000122E0,3.694050074E0,8.581050873E0,9.574855066E0
2.262856070E-1,-2.170950174E0,3.655950069E0,8.667000771E0,9.653802252E0
2.287849910E-1,-2.245050192E0,3.607950211E0,8.751000404E0,9.728183960E0
2.312844510E-1,-2.305050135E0,3.571950197E0,8.818050385E0,9.789284801E0
2.337838380E-1,-2.358000040E0,3.538950205E0,8.868000031E0,9.834925383E0
2.362832230E-1,-2.392050028E0,3.505050182E0,8.905950546E0,9.865253937E0
2.387826070E-1,-2.446950197E0,3.478950262E0,8.964000702E0,9.921893407E0
2.412819920E-1,-2.511000156E0,3.484050274E0,9.012000084E0,9.982979195E0
2.437813770E-1,-2.569050074E0,3.462000132E0,9.036000252E0,1.001173131E1
2.462807610E-1,-2.611950159E0,3.469050169E0,9.072000504E0,1.005772270E1
2.487801450E-1,-2.656950235E0,3.474000216E0,9.060000420E0,1.006040107E1
2.512795290E-1,-2.662050009E0,3.486000061E0,9.076050758E0,1.008034742E1
2.537789130E-1,-2.710050106E0,3.486000061E0,9.057000160E0,1.007600218E1
2.562782980E-1,-2.710050106E0,3.505050182E0,9.064050674E0,1.008894261E1
