"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.712389200E-1,2.188050032E0,2.863950253E0,7.647000313E0,8.453779496E0
1.737382930E-1,2.094000101E0,2.818050146E0,7.611000538E0,8.381740406E0
1.762376030E-1,2.044049978E0,2.806050062E0,7.518000126E0,8.280844351E0
1.787367570E-1,1.972050071E0,2.803950071E0,7.446000576E0,8.197197208E0
1.812361390E-1,1.797000051E0,2.794050217E0,7.537050247E0,8.236689397E0
1.837354490E-1,1.608000040E0,2.773050070E0,7.705050468E0,8.345254552E0
1.862345940E-1,1.314000010E0,2.662050009E0,7.900950432E0,8.440268005E0
1.887339760E-1,1.017000079E0,2.586000204E0,8.056050301E0,8.521832706E0
1.912332860E-1,7.890000343E-1,2.574000120E0,8.341050148E0,8.764765556E0
1.937324400E-1,4.900500178E-1,2.490000010E0,8.569050789E0,8.936939101E0
1.962317500E-1,3.299999982E-2,2.236050129E0,8.751000404E0,9.032221059E0
1.987311340E-1,-2.370000184E-1,2.242950201E0,9.091050148E0,9.366652946E0
2.012302900E-1,-4.429500103E-1,2.260050058E0,9.378000259E0,9.656651585E0
2.037296730E-1,-6.559500098E-1,2.289000034E0,9.664950371E0,9.953946817E0
2.062289820E-1,-8.209500313E-1,2.349000216E0,9.922050476E0,1.022931311E1
2.087281460E-1,-9.379500151E-1,2.386950016E0,1.012005043E1,1.043995696E1
2.112275290E-1,-1.051050067E0,2.421000004E0,1.020600033E1,1.054174511E1
2.137268390E-1,-1.197000027E0,2.442000151E0,1.031895065E1,1.067131278E1
2.162259920E-1,-1.354950070E0,2.454000235E0,1.031400013E1,1.068815258E1
2.187253600E-1,-1.575000048E0,2.455950022E0,1.018500042E1,1.059464720E1
2.212244390E-1,-1.795050144E0,2.418000221E0,9.900000572E0,1.034789551E1
2.237238220E-1,-2.044049978E0,2.434950113E0,9.577050209E0,1.009093718E1
2.262231290E-1,-2.241000175E0,2.410950184E0,9.220050812E0,9.789999977E0
2.287222850E-1,-2.310000181E0,2.401050091E0,8.851050377E0,9.457390504E0
2.312216780E-1,-2.143050194E0,2.386950016E0,8.425050735E0,9.015080388E0
2.337209870E-1,-1.984950066E0,2.406000137E0,8.169000626E0,8.744222930E0
2.362201410E-1,-1.897950053E0,2.430000067E0,7.927050591E0,8.505600848E0
2.387195240E-1,-1.695000052E0,2.442000151E0,7.752000332E0,8.302403210E0
2.412188290E-1,-1.537050128E0,2.430000067E0,7.648950577E0,8.171527908E0
2.437179820E-1,-1.210950017E0,2.224050045E0,7.498950481E0,7.914989379E0
2.462173650E-1,-9.619500637E-1,2.040000200E0,7.306950569E0,7.647122031E0
2.487166750E-1,-7.300500274E-1,1.789050102E0,7.326000214E0,7.576539609E0
2.512158290E-1,-5.500500202E-1,1.729050040E0,7.479000568E0,7.695948192E0
2.537151970E-1,-2.820000052E-1,1.903050065E0,7.470000267E0,7.713755735E0
2.562145070E-1,-2.680500150E-1,2.044950008E0,7.731000423E0,8.001377312E0
2.587136610E-1,-4.549500346E-1,2.155050039E0,8.161950111E0,8.453913285E0
2.612130430E-1,-4.450500309E-1,2.293950081E0,8.356050491E0,8.676627013E0
2.637123530E-1,-5.170500278E-1,2.590950012E0,8.368050575E0,8.775228380E0
2.662114970E-1,-4.669500291E-1,2.859000206E0,8.137949944E0,8.638180005E0
2.687108800E-1,-3.559500277E-1,3.136050224E0,7.858050346E0,8.468203273E0
2.712101890E-1,-2.970000207E-1,3.358950138E0,7.696950436E0,8.403201833E0
2.737093430E-1,-1.939500123E-1,3.463950157E0,7.542000294E0,8.301706796E0
2.762087260E-1,-7.905000448E-2,3.571950197E0,7.264050484E0,8.095153275E0
2.787080490E-1,-3.795000166E-2,3.618000269E0,7.069950104E0,7.942012378E0
2.812072030E-1,-9.000000544E-3,3.579000235E0,6.868950367E0,7.745437549E0
2.837065090E-1,-4.800000042E-2,3.475950241E0,6.646050453E0,7.500301374E0
2.862058940E-1,-4.800000042E-2,3.318000078E0,6.415950298E0,7.223285039E0
2.887050590E-1,-6.900000572E-2,3.199050188E0,6.237000465E0,7.009911405E0
2.912043650E-1,-4.800000042E-2,3.084000111E0,6.055050373E0,6.795365752E0
2.937037500E-1,1.800000109E-2,2.998050213E0,5.923050404E0,6.638610936E0
2.962029060E-1,1.330500096E-1,2.943000078E0,5.760000229E0,6.469664165E0
2.987022110E-1,1.620000005E-1,2.947050095E0,5.788950443E0,6.497945483E0
3.012013810E-1,1.759500057E-1,2.968950033E0,5.820000172E0,6.535902746E0
3.037007640E-1,1.960500032E-1,3.072000027E0,5.751000404E0,6.523007391E0
3.062000740E-1,2.029500157E-1,3.201000214E0,5.671950340E0,6.516027297E0
3.086994560E-1,7.095000148E-2,3.376050234E0,5.832000256E0,6.739063441E0
3.111986130E-1,-1.605000161E-2,3.559950113E0,5.674050331E0,6.698384102E0
3.136979190E-1,-1.390500069E-1,3.748950243E0,5.643000126E0,6.776238872E0
3.161973030E-1,-2.890500128E-1,3.919050217E0,5.770050049E0,6.981116105E0
3.186964590E-1,-4.140000343E-1,4.075050354E0,5.808000088E0,7.107059620E0
3.211957650E-1,-5.770500302E-1,4.180050373E0,6.115050316E0,7.429646575E0
3.236951390E-1,-7.180500627E-1,4.243050098E0,6.163050175E0,7.516798353E0
3.261942180E-1,-9.190500379E-1,4.255050182E0,6.457050323E0,7.787400330E0
3.286936010E-1,-1.135050058E0,4.105950356E0,6.676950455E0,7.920153681E0
3.311927570E-1,-1.348050117E0,3.997950077E0,6.748950481E0,7.959219594E0
3.336920630E-1,-1.597050071E0,3.919050217E0,6.847050190E0,8.049324185E0
3.361914470E-1,-1.941000104E0,3.804000139E0,6.804000378E0,8.033201081E0
3.386906030E-1,-2.655000210E0,3.514950275E0,7.864950180E0,9.014507357E0
3.411899090E-1,-2.595000029E0,3.088950157E0,8.956950188E0,9.823573428E0
3.436892930E-1,-2.671950102E0,2.844000101E0,8.961000443E0,9.773800840E0
3.461884490E-1,-3.217950106E0,2.728950024E0,8.659950256E0,9.633125638E0
3.486877410E-1,-3.847050190E0,2.575950146E0,8.410950661E0,9.601010641E0
3.511871260E-1,-4.266000271E0,2.406000137E0,8.203050613E0,9.553932925E0
3.536862810E-1,-4.518000126E0,2.245950222E0,8.125950813E0,9.564919977E0
3.561855870E-1,-4.636950016E0,2.128050089E0,8.173950195E0,9.635526162E0
3.586849720E-1,-4.672950268E0,1.978050113E0,8.277000427E0,9.708649882E0
3.611841280E-1,-4.714050293E0,1.756950140E0,8.341050148E0,9.740752616E0
3.636834330E-1,-4.707000256E0,1.519950032E0,8.346000671E0,9.701640414E0
3.661828180E-1,-4.668000221E0,1.293000102E0,8.353050232E0,9.655854364E0
3.686819740E-1,-4.630050182E0,1.030050039E0,8.401050568E0,9.647591327E0
3.711812790E-1,-4.594050407E0,6.850500107E-1,8.461050034E0,9.652147965E0
3.736804440E-1,-4.537050247E0,4.210500121E-1,8.569050789E0,9.705191368E0
3.761798270E-1,-4.414950371E0,2.470500171E-1,8.731950760E0,9.787736437E0
3.786791370E-1,-4.270950317E0,1.319999993E-1,8.940000534E0,9.908685592E0
3.811785190E-1,-4.056000233E0,1.950000064E-3,9.241950035E0,1.009280844E1
3.836775980E-1,-3.783000231E0,-2.505000122E-2,9.571950912E0,1.029242258E1
3.861769610E-1,-3.471000195E0,-5.595000088E-2,1.014900017E1,1.072628441E1
3.886761170E-1,-3.105000257E0,-1.305000018E-2,1.072095013E1,1.116153970E1
3.911754220E-1,-2.667000055E0,-6.000000052E-3,1.140600014E1,1.171365718E1
3.936748070E-1,-2.176050186E0,6.195000187E-2,1.191600037E1,1.211321992E1
3.961739630E-1,-1.657050133E0,1.150500029E-1,1.236405087E1,1.247512747E1
3.986732680E-1,-1.111050010E0,2.059500068E-1,1.274205017E1,1.279205574E1
4.011726530E-1,-6.030000448E-1,3.060000241E-1,1.313505077E1,1.315244479E1
4.036718090E-1,-1.309500039E-1,3.930000067E-1,1.336395073E1,1.337036933E1
4.061711150E-1,2.509500086E-1,4.090500176E-1,1.359405041E1,1.360251831E1
4.086704990E-1,6.550500393E-1,2.539499998E-1,1.354200077E1,1.356021261E1
4.111696550E-1,1.126950026E0,5.700000376E-2,1.311300087E1,1.316146106E1
4.136689610E-1,1.383000016E0,-1.570500135E-1,1.274895096E1,1.282470679E1
4.161683450E-1,1.599000096E0,-3.889500201E-1,1.224600029E1,1.235607569E1
4.186675010E-1,1.558050036E0,-6.690000296E-1,1.185405064E1,1.197470657E1
4.211667970E-1,1.420950055E0,-8.820000291E-1,1.154505062E1,1.166555686E1
4.236661820E-1,1.333050013E0,-1.158000112E0,1.140405083E1,1.153994635E1
4.261653370E-1,1.218000054E0,-1.426050067E0,1.132905006E1,1.148322769E1
4.286646430E-1,1.113000035E0,-1.576950073E0,1.130805016E1,1.147159705E1
4.311638040E-1,1.042950034E0,-1.603050113E0,1.148295021E1,1.164111936E1
4.336631870E-1,1.126950026E0,-1.435050011E0,1.190400028E1,1.204303150E1
4.361624960E-1,1.374000072E0,-1.399950027E0,1.219095039E1,1.234775315E1
4.386618790E-1,1.620000124E0,-1.239000082E0,1.254600048E1,1.271069037E1
4.411609580E-1,1.893000126E0,-1.219950080E0,1.285200024E1,1.304782119E1
4.436603460E-1,2.001000166E0,-1.351950049E0,1.290705109E1,1.313102198E1
4.461595010E-1,2.098950148E0,-1.408950090E0,1.298400021E1,1.322781136E1
4.486588840E-1,2.203950167E0,-1.452000022E0,1.325400066E1,1.351422340E1
4.511581940E-1,2.314050198E0,-1.407000065E0,1.367295074E1,1.393858169E1
4.536575860E-1,2.434050083E0,-1.354050040E0,1.408500099E1,1.435776112E1
4.561566650E-1,2.578050137E0,-1.249050021E0,1.450395107E1,1.478414912E1
4.586560480E-1,2.752950191E0,-1.114950061E0,1.502805042E1,1.531875151E1
4.611552040E-1,2.985000134E0,-9.760500193E-1,1.539705086E1,1.571407250E1
4.636545090E-1,3.184050083E0,-8.700000644E-1,1.558395100E1,1.592967682E1
4.661538840E-1,3.409050226E0,-7.440000176E-1,1.557705116E1,1.596307246E1
4.686530400E-1,3.628950119E0,-6.379500031E-1,1.534200096E1,1.577825252E1
4.711523460E-1,3.873000145E0,-5.569500327E-1,1.485105038E1,1.535786511E1
4.736517300E-1,4.089000225E0,-4.510500133E-1,1.418595028E1,1.477039452E1
4.761508860E-1,4.338000298E0,-3.250500262E-1,1.339095020E1,1.407982427E1
4.786501920E-1,4.609950066E0,-2.359500080E-1,1.245900059E1,1.328661009E1
4.811495760E-1,4.792050362E0,-3.010500073E-1,1.133700085E1,1.231186282E1
4.836487320E-1,4.950000286E0,-3.940500319E-1,1.023795033E1,1.137863810E1
4.861480380E-1,5.068050385E0,-5.879999995E-1,9.139050484E0,1.046676275E1
4.886474330E-1,5.166000366E0,-8.320500255E-1,8.101950645E0,9.644763931E0
4.911465880E-1,5.233050346E0,-1.111950040E0,7.198950291E0,8.969176891E0
4.936458940E-1,5.223000050E0,-1.459050059E0,6.412050247E0,8.397794054E0
4.961452790E-1,5.131950378E0,-1.828050137E0,5.767950058E0,7.933973145E0
4.986444390E-1,5.002950191E0,-2.215950012E0,5.326950073E0,7.636513744E0
5.011437440E-1,4.797000408E0,-2.551050186E0,5.008950233E0,7.389766736E0
5.036429000E-1,4.507950306E0,-2.853000164E0,4.756950378E0,7.147713117E0
5.061422830E-1,4.129050255E0,-3.181050062E0,4.822050095E0,7.100725500E0
5.086415920E-1,3.586050272E0,-3.597000122E0,5.137950420E0,7.224728435E0
5.111409800E-1,3.037950039E0,-3.991950274E0,5.647950172E0,7.554081584E0
5.136400590E-1,2.346000195E0,-4.507050037E0,6.493050098E0,8.244811492E0
5.161394420E-1,2.203950167E0,-5.101050377E0,6.981000423E0,8.922582485E0
5.186385970E-1,2.097000122E0,-5.608950138E0,7.374000549E0,9.499137606E0
5.211379990E-1,2.025000095E0,-5.898000240E0,7.597050190E0,9.828642013E0
5.236373090E-1,2.167950153E0,-6.037050247E0,7.546950340E0,9.904667738E0
5.261364630E-1,2.535000086E0,-6.091950417E0,7.063050270E0,9.665648681E0
5.286357680E-1,3.090000153E0,-6.018000126E0,6.376050472E0,9.296152219E0
5.311351530E-1,3.817950249E0,-5.845950127E0,5.703000069E0,9.015325106E0
5.336343140E-1,4.600950241E0,-5.635050297E0,5.185950279E0,8.934014510E0
5.361336200E-1,5.451000214E0,-5.388000488E0,4.834050179E0,9.061566847E0
5.386330040E-1,6.238950253E0,-5.209050179E0,4.696950436E0,9.387227887E0
5.411321600E-1,6.799050331E0,-5.115000248E0,4.726050377E0,9.732721362E0
5.436314660E-1,7.194000244E0,-5.034000397E0,4.915050030E0,1.006243093E1
5.461308500E-1,7.315950394E0,-5.026950359E0,5.266950130E0,1.032153689E1
5.486300060E-1,7.159950256E0,-5.103000164E0,5.832000256E0,1.055072155E1
5.511293120E-1,6.588000298E0,-5.295000076E0,6.145950317E0,1.045042961E1
5.536286960E-1,5.911050320E0,-5.494050026E0,7.008000374E0,1.068817902E1
5.561278520E-1,5.191950321E0,-5.572950363E0,7.993950367E0,1.104161973E1
5.586271580E-1,4.516950130E0,-5.539050102E0,8.748000145E0,1.129652252E1
5.611263140E-1,3.898950100E0,-5.572950363E0,9.313050270E0,1.153223712E1
5.636256970E-1,3.343950272E0,-5.500950336E0,9.730050087E0,1.166689045E1
5.661250060E-1,2.935050249E0,-5.400000095E0,9.960000038E0,1.170367984E1
5.686241600E-1,2.592000008E0,-5.269050121E0,1.004400063E1,1.163457355E1
5.711235680E-1,2.374050140E0,-5.062950134E0,9.937950134E0,1.140317636E1
5.736228770E-1,2.223000050E0,-4.756050110E0,9.724950790E0,1.105153427E1
5.761220310E-1,2.238000154E0,-4.414050102E0,9.450000763E0,1.066747381E1
5.786214140E-1,2.355000019E0,-4.030950069E0,9.220050812E0,1.033459823E1
5.811207290E-1,2.607000113E0,-3.673950195E0,8.938050270E0,1.000915093E1
5.836198820E-1,2.935050249E0,-3.277050257E0,8.746050835E0,9.790147269E0
5.861192650E-1,3.351000071E0,-2.985000134E0,8.530950546E0,9.639322823E0
5.886185750E-1,3.745950222E0,-2.749950171E0,8.361000061E0,9.565599355E0
5.911177290E-1,4.017000198E0,-2.776050091E0,8.155050278E0,9.505134914E0
5.936171010E-1,4.419000149E0,-2.680050135E0,8.133000374E0,9.636177983E0
5.961164110E-1,4.869000435E0,-2.530050039E0,8.068050385E0,9.757138691E0
5.986155650E-1,5.247000217E0,-2.491050005E0,8.008950233E0,9.893413226E0
6.011149470E-1,5.560950279E0,-2.422049999E0,7.975050449E0,1.001957703E1
6.036142570E-1,5.796000481E0,-2.347950220E0,7.956000328E0,1.011950755E1
6.061134110E-1,5.944050312E0,-2.287950039E0,7.969950199E0,1.020228189E1
6.086127940E-1,6.040050507E0,-2.245050192E0,8.044050217E0,1.030675528E1
6.111121030E-1,6.030000210E0,-2.202000141E0,8.097000122E0,1.033301109E1
6.136112570E-1,5.956050396E0,-2.178000212E0,8.143050194E0,1.032121542E1
6.161105490E-1,5.899050236E0,-2.158950090E0,8.179050446E0,1.031293971E1
6.186099330E-1,5.860050201E0,-2.137050152E0,8.298000336E0,1.038094318E1
6.211090890E-1,5.821950436E0,-2.095950127E0,8.458950043E0,1.048055102E1
6.236083950E-1,5.773950100E0,-2.050950050E0,8.644950867E0,1.059622911E1
6.261075460E-1,5.797950268E0,-1.882950068E0,8.887050629E0,1.077689181E1
6.286069280E-1,5.844000340E0,-1.692000031E0,9.151050568E0,1.098894584E1
6.311062380E-1,5.925000191E0,-1.471050024E0,9.406949997E0,1.121429105E1
6.336053920E-1,5.974950314E0,-1.251000047E0,9.711000443E0,1.147033400E1
6.361047750E-1,6.073050499E0,-9.829500318E-1,1.000305080E1,1.174347302E1
6.386040740E-1,6.202950478E0,-7.050000429E-1,1.028805065E1,1.203401869E1
6.411032280E-1,6.337050438E0,-3.990000188E-1,1.065705013E1,1.240524594E1
6.436026110E-1,6.448950291E0,-1.429500133E-1,1.098495007E1,1.273885876E1
6.461019200E-1,6.556950092E0,4.995000362E-2,1.125300026E1,1.302405867E1
6.486010740E-1,6.676950455E0,1.960500032E-1,1.149705029E1,1.329670140E1
6.511004670E-1,6.768000126E0,3.180000186E-1,1.162395096E1,1.345448571E1
6.535997770E-1,6.901950359E0,3.540000021E-1,1.168800068E1,1.357835022E1
6.560989300E-1,7.038000107E0,4.050000310E-1,1.169595051E1,1.365623406E1
6.585983130E-1,7.134000301E0,5.629500151E-1,1.153005028E1,1.357029596E1
6.610976230E-1,7.159950256E0,5.940000415E-1,1.132695007E1,1.341333373E1
6.635967620E-1,7.182000160E0,5.220000148E-1,1.133205032E1,1.342642822E1
6.660961440E-1,7.146000385E0,4.600500166E-1,1.124295044E1,1.332970000E1
6.685952230E-1,7.078950405E0,3.900000155E-1,1.106595039E1,1.314225616E1
6.710946060E-1,6.685950279E0,4.740000367E-1,1.080495071E1,1.271509210E1
6.735939090E-1,6.037050247E0,5.290500522E-1,1.079505062E1,1.237978140E1
6.760932930E-1,5.743050098E0,3.229500055E-1,1.089105034E1,1.231673247E1
6.785924490E-1,5.604000092E0,4.605000094E-2,1.123605061E1,1.255610492E1
6.810917550E-1,5.440950394E0,-1.669500023E-1,1.135305023E1,1.259061409E1
6.835909110E-1,5.341050148E0,-4.390500188E-1,1.155405045E1,1.273639130E1
6.860902740E-1,5.167950153E0,-5.620500445E-1,1.171500015E1,1.281658448E1
6.885895840E-1,4.843050003E0,-5.740500093E-1,1.158600044E1,1.257060353E1
6.910887380E-1,4.393050194E0,-3.919500113E-1,1.161705017E1,1.242611643E1
6.935881200E-1,3.883050203E0,-1.399500072E-1,1.151400089E1,1.215194970E1
6.960874300E-1,3.306000233E0,1.219500080E-1,1.139895058E1,1.186931268E1
6.985865790E-1,1.833000064E0,5.749500394E-1,1.185405064E1,1.200870406E1
7.010859620E-1,1.575000048E0,8.569500446E-1,1.182495022E1,1.196011857E1
7.035852710E-1,1.717950106E0,1.306950092E0,1.195200062E1,1.214536084E1
7.060844250E-1,1.675050020E0,1.402950048E0,1.230105019E1,1.249359424E1
7.085838080E-1,1.206000090E0,1.486950040E0,1.297395039E1,1.311445177E1
7.110828770E-1,7.459500432E-1,1.582950115E0,1.339800072E1,1.351179469E1
7.135822590E-1,3.730500042E-1,1.860000134E0,1.375695038E1,1.388713255E1
7.160815670E-1,1.909500062E-1,2.095050097E0,1.425705051E1,1.441142554E1
7.185809520E-1,-1.950000064E-3,2.479950190E0,1.492995071E1,1.513451635E1
7.210801070E-1,2.310000062E-1,2.622000217E0,1.469295025E1,1.492685610E1
7.235794900E-1,-7.900500298E-1,2.794050217E0,1.543305111E1,1.570381999E1
7.260785690E-1,-1.029000044E0,3.028950214E0,1.590195084E1,1.622052468E1
7.285779520E-1,-1.041000009E0,3.181950092E0,1.651500130E1,1.685092743E1
7.310772590E-1,-1.252050042E0,3.120000124E0,1.673295021E1,1.706732706E1
7.335764250E-1,-1.342950106E0,3.105000257E0,1.704195023E1,1.737448155E1
7.360758080E-1,-1.324050069E0,3.253950119E0,1.737195015E1,1.772359873E1
7.385751920E-1,-1.609050035E0,3.028950214E0,1.718595123E1,1.752485381E1
7.410742710E-1,-1.867050052E0,3.133950233E0,1.778700066E1,1.815722755E1
7.435736540E-1,-1.597050071E0,3.481050253E0,1.794495010E1,1.834910118E1
7.460729480E-1,-2.113950014E0,4.378950119E0,1.878495026E1,1.940408063E1
7.485721030E-1,-2.980950117E0,5.188050270E0,1.865100098E1,1.958728584E1
7.510714860E-1,-4.137000084E0,5.241000175E0,1.831605148E1,1.949514284E1
7.535707960E-1,-4.372050285E0,5.089950085E0,1.818405151E1,1.938252164E1
7.560699400E-1,-4.342950344E0,4.858050346E0,1.801905060E1,1.916110788E1
7.585693220E-1,-4.228050232E0,4.543950081E0,1.778700066E1,1.883882383E1
7.610686320E-1,-3.447000265E0,4.140000343E0,1.662300110E1,1.747414030E1
7.635677860E-1,-1.542000055E0,3.706050158E0,1.584705067E1,1.634752540E1
7.660671680E-1,8.659500480E-1,3.214950085E0,1.559100056E1,1.594255538E1
7.685662470E-1,3.034950256E0,2.659950018E0,1.453500080E1,1.508484357E1
7.710656300E-1,4.897950172E0,1.887000084E0,1.278000069E1,1.381590036E1
7.735649380E-1,6.210000515E0,1.159050107E0,1.095300007E1,1.264419685E1
7.760643220E-1,6.823050499E0,6.390000582E-1,9.772950172E0,1.193620100E1
7.785634870E-1,6.901950359E0,3.090000153E-1,9.292050362E0,1.157905867E1
7.810628700E-1,6.427950382E0,-1.189500093E-1,8.463000298E0,1.062803224E1
7.835621790E-1,5.554050446E0,-6.310500503E-1,7.060050488E0,9.004999356E0
7.860613330E-1,4.792050362E0,-9.330000281E-1,6.364050388E0,8.020933429E0
7.885606390E-1,4.426050186E0,-1.123950005E0,6.277950287E0,7.763107861E0
7.910600240E-1,4.534049988E0,-1.330050111E0,6.115050316E0,7.727902882E0
